,output
81,"Explicação: A notícia é verdadeira. Ela relata um depoimento do senador cassado Delcídio Amaral à Justiça, onde ele reiterou acusações contra o ex-presidente Luiz Inácio Lula da Silva. O depoimento foi feito no âmbito de uma ação penal que avalia se Lula e outros réus atuaram para obstruir as investigações da Lava Jato. A notícia inclui detalhes específicos sobre as acusações de Delcídio e a resposta da defesa de Lula, o que adiciona credibilidade ao conteúdo.

Resposta: 1"
82,"Explicação: A notícia fornece detalhes específicos sobre o escritor Thiago Cascabulho, seu livro ""Amiga Lata, Amigo Rio"", e seu projeto ""Projeto Douradinho"". Ela também menciona o Fórum Mundial da Água, que está sendo realizado em Brasília e marca o Dia Mundial da Água. Tudo isso é corroborado por informações verificáveis, como a data do evento e a história do Fórum Mundial da Água. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
83,"Explicação: A notícia é verdadeira. Ela é baseada em depoimentos de pessoas que conseguiram escapar da Coreia do Norte e fornece uma visão detalhada sobre a vida e as restrições impostas pelo regime. A BBC é uma fonte confiável e a notícia não contém informações que possam ser facilmente verificadas como falsas.

Resposta: 1"
84,"Explicação: A notícia fornece detalhes específicos sobre o filme ""Gabriel e a Montanha"", incluindo a premiação, a história real por trás do filme, e a reação da mãe do protagonista. No entanto, a notícia não fornece fontes confiáveis ou links para verificar a veracidade dos fatos. Além disso, a notícia é muito detalhada e específica, o que é comum em notícias falsas para criar uma aparência de autenticidade.

Resposta: 0"
85,"Explicação: A notícia fornece detalhes sobre a Operação Trapaça, que investiga fraudes na BRF, incluindo adulteração de resultados de análises e uso de laboratórios descredenciados. A BRF, por sua vez, emitiu um comunicado negando as acusações e afirmando que segue normas e regulamentos. A notícia é baseada em fontes oficiais, como a Polícia Federal e o Ministério da Agricultura, e inclui declarações de delegados e representantes da PF. Portanto, a notícia é verdadeira.

Resposta: 1"
86,"Explicação: A notícia fornece detalhes específicos sobre a interdição de vias e a programação do Fórum Mundial da Água, incluindo a participação do presidente Michel Temer e a transmissão ao vivo da cerimônia de abertura. Esses detalhes são consistentes com informações que podem ser verificadas em fontes confiáveis, como o site oficial do governo brasileiro e a mídia tradicional. Além disso, a descrição do congestionamento e das interdições de vias é comum em eventos de grande porte que atraem muitos participantes e visitantes.

Resposta: 1"
87,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram recentemente. A maioria dos fatos mencionados é corroborada por fontes confiáveis e está alinhada com os eventos conhecidos. No entanto, a notícia não fornece fontes específicas para cada afirmação, o que é uma prática comum em notícias de última hora. A ausência de fontes específicas não invalida a veracidade dos fatos, mas pode ser um ponto de atenção para quem deseja uma verificação mais detalhada.

Resposta: 1"
88,"Explicação: A notícia fornece detalhes específicos sobre uma reunião entre o prefeito Marcelo Crivella e comerciantes da Vila Kennedy, onde foi discutida a possibilidade de retorno ao trabalho e a criação de tendas para os comerciantes que perderam seus produtos e instalações. A notícia também menciona a criação de uma linha de crédito para os comerciantes e a promessa de legalização em seis meses. Esses detalhes são corroborados por fontes confiáveis, como o prefeito e líderes comunitários, e não há indicações de que a notícia seja uma fake news.

Resposta: 1"
89,"Explicação: A notícia é verdadeira. A informação sobre a votação da reforma da Previdência em fevereiro na Câmara dos Deputados foi confirmada pelo presidente da Câmara, Rodrigo Maia, e pelo líder do governo no Senado, Romero Jucá. A previsão de que a votação ocorrerá no dia 19 de fevereiro foi reiterada por Maia, que afirmou que o governo já terá os votos necessários até essa data. A notícia também menciona a necessidade de 308 votos para a aprovação da PEC, o que é um detalhe técnico correto. Portanto, a notícia é consistente com informações oficiais e não há indícios de desinformação.

Resposta: 1"
90,"Explicação: A notícia fornecida é detalhada e inclui informações de várias fontes, incluindo testemunhas oculares, jornalistas e autoridades. A descrição dos eventos, incluindo o ataque com um carro e o esfaqueamento de um policial, é consistente com relatórios de outras fontes confiáveis. Além disso, a notícia menciona a reação das autoridades e a resposta do público, o que é comum em coberturas de eventos de grande impacto. Não há indicações de que a notícia seja fabricada ou distorcida.

Resposta: 1"
91,"Explicação: A notícia fornecida é uma análise crítica e detalhada sobre o filme ""TOC (Transtornada Obsessiva Compulsiva)"", dirigido por Paulinho Caruso e Teodoro Poppovic, e estrelado por Tatá Werneck. A notícia menciona que o filme será exibido no festival South By Southwest (SXSW) em Austin, no Texas, de 9 a 18 de março. No entanto, a notícia não fornece fontes ou informações concretas que confirmem a participação do filme no festival SXSW. Além disso, a notícia é uma análise crítica e não uma notícia factual sobre a participação do filme no evento.

Resposta: 0"
92,"Explicação: A notícia é verdadeira. A ex-presidente Dilma Rousseff realmente comentou no Twitter sobre a rejeição da denúncia contra o presidente Michel Temer e mencionou a influência de Eduardo Cunha no governo. A informação sobre a rejeição da denúncia pela Câmara e os votos dos deputados também são precisos e confirmados por fontes confiáveis.

Resposta: 1"
93,"Explicação: A notícia é baseada em uma investigação real do Ministério Público do Distrito Federal, que está apurando se redes de farmácias estão repassando ou vendendo dados sigilosos de clientes em troca de descontos. A investigação envolve a possibilidade de que esses dados sejam usados por empresas de planos de saúde e de análise de crédito, o que pode impactar negativamente os consumidores. A notícia inclui declarações de promotores e representantes de entidades do setor, o que adiciona credibilidade ao conteúdo. Portanto, a notícia é verdadeira.

Resposta: 1"
94,"Explicação: A notícia fornecida é detalhada e inclui informações específicas sobre a tragédia ocorrida em Urucânia, Minas Gerais. Ela menciona nomes, datas, locais e detalhes sobre as vítimas e as buscas em andamento. Além disso, a notícia cita fontes confiáveis, como o Corpo de Bombeiros e a prefeitura local, o que adiciona credibilidade ao relato. A descrição dos eventos e a emoção expressa pela vítima também são consistentes com uma situação real e trágica.

Resposta: 1"
95,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram em 3 de julho de 2017. A maioria dos eventos mencionados, como a Operação Lava Jato, a prisão de Geddel Vieira Lima, e a antecipação do pagamento das contas inativas do FGTS, são factualmente corretos e foram amplamente cobertos pela mídia na época. No entanto, a notícia também inclui informações sobre a prisão de Jacob Barata Filho e a prisão de Geddel Vieira Lima, que são eventos reais, mas a notícia não menciona que a prisão de Jacob Barata Filho ocorreu em 2017, o que pode ser uma omissão ou erro de cronologia. Além disso, a notícia sobre a prisão de Geddel Vieira Lima é correta, mas a menção de que ele foi preso preventivamente é uma interpretação que pode ser contestada, pois a prisão preventiva é uma medida judicial que pode ser aplicada em diferentes contextos e não necessariamente implica que ele foi preso para evitar que ele continue a atrapalhar investigações.

Resposta: 1 (A notícia é verdadeira, mas contém algumas omissões e interpretações que podem ser contestadas.)"
96,"Explicação: A notícia fornece detalhes sobre as suspeitas levantadas contra vários políticos brasileiros com base em delações da Odebrecht. Ela inclui declarações de cada um dos políticos citados, que negam as acusações e afirmam que agiram dentro da lei. A notícia é baseada em informações públicas e declarações oficiais, o que a torna uma fonte confiável.

Resposta: 1"
97,"Explicação: A notícia é verdadeira. Ela foi publicada em um veículo de comunicação confiável e contém detalhes específicos sobre a intervenção federal no Rio de Janeiro, incluindo a assinatura do decreto, a nomeação do general Walter Souza Braga Netto como interventor, e as declarações dos governadores e do presidente Michel Temer. A notícia também menciona a necessidade de apoio federal para combater a violência e o crime organizado no estado, o que é um tema de grande relevância e foi amplamente discutido em diversas fontes de notícias.

Resposta: 1"
98,"Explicação: A notícia fornece detalhes sobre uma denúncia apresentada contra o ex-presidente Luiz Inácio Lula da Silva e outros acusados pelo Ministério Público por tentativa de obstruir a Operação Lava Jato. A denúncia foi aceita pela Justiça Federal do Distrito Federal, e os acusados incluem o ex-senador Delcídio Amaral, o advogado Edson de Siqueira Ribeiro Filho, o ex-assessor de Delcídio Diogo Feireira Rodrigues, o banqueiro André Santos Esteves, o pecuarista José Carlos Bumlai e seu filho Maurício. A notícia também inclui declarações de defensores dos acusados, que contestam as acusações e argumentam que não há provas suficientes para sustentar a denúncia.

Resposta: 1 (A notícia é verdadeira)"
99,"Explicação: A notícia fornece detalhes específicos sobre a situação dos indígenas venezuelanos que migraram para o Amazonas, incluindo a ocupação de ruas, a falta de alimentos na Venezuela, e a resposta das autoridades e da comunidade local. A informação é corroborada por fontes como a Secretaria de Estado de Justiça, Direitos Humanos e Cidadania (Sejusc) e o Ministério Público Federal no Amazonas (MPF/AM). Além disso, há depoimentos de imigrantes e voluntários que confirmam a situação descrita. Portanto, a notícia parece ser bem fundamentada e não há indícios de que seja falsa.

Resposta: 1"
100,"Explicação: A notícia apresenta dados e depoimentos de mulheres que abriram seus próprios negócios para ficar mais perto dos filhos. Ela cita exemplos específicos de mulheres que tomaram essa decisão e menciona uma pesquisa realizada pela Rede Mulher Empreendedora. A notícia também inclui uma declaração de uma especialista que confirma a dificuldade de reintegração das mães ao mercado de trabalho tradicional. Todos esses elementos sugerem que a notícia é baseada em fatos reais e não há indicações de que seja uma notícia falsa.

Resposta: 1"
101,"Explicação: A notícia fornece detalhes específicos sobre a morte de Carlos Araújo, ex-marido de Dilma Rousseff, e inclui informações sobre a vida e a carreira de Araújo. A notícia menciona que Dilma Rousseff postou um texto em seu blog em homenagem a Araújo, o que é uma informação pública e verificável. Além disso, a notícia inclui detalhes sobre o velório e a carreira de Araújo, que são factualmente corretos e podem ser verificados em fontes confiáveis. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
102,"Explicação: A notícia fornece dados específicos sobre a endividamento dos catarinenses, citando uma pesquisa da Fecomércio e apresentando exemplos de pessoas que conseguiram se livrar do endividamento. Além disso, a notícia inclui depoimentos de especialistas que oferecem conselhos sobre como evitar o endividamento. Esses elementos indicam que a notícia é baseada em informações concretas e credíveis.

Resposta: 1"
103,"Explicação: A notícia fornecida é uma reportagem detalhada sobre a sentença do juiz federal Sérgio Moro que condenou o ex-presidente Luiz Inácio Lula da Silva. A reportagem inclui citações diretas do juiz e detalhes sobre os embates entre a defesa de Lula e Moro. A notícia é baseada em fontes confiáveis e não apresenta informações contraditórias ou inconsistentes. Portanto, a notícia é verdadeira.

Resposta: 1"
104,"Explicação: A notícia fornece informações detalhadas sobre o crescimento do e-commerce no Brasil e no Sul de Minas, com base em dados da Ebit e depoimentos de representantes do Sebrae e de empresários locais. A informação sobre o faturamento de R$ 21 bilhões no primeiro semestre de 2017 e o crescimento de 7,5% em relação ao mesmo período de 2016 é corroborada por fontes confiáveis. Além disso, a história de Ariane Cristina Gomes Juvêncio e a expansão do serviço de compras online de uma rede de supermercados no Sul de Minas são exemplos concretos que reforçam a tendência de crescimento do e-commerce na região. Portanto, a notícia é consistente com informações verificáveis e não há indícios de desinformação.

Resposta: 1"
105,"Explicação: A notícia fornece detalhes sobre um caso de agressão e morte de uma criança em Itapetininga, SP. Ela menciona que o Conselho Tutelar visitou a família várias vezes e não constatou sinais de agressões, mas que a criança foi levada ao hospital com marcas de espancamento. A notícia também inclui depoimentos de testemunhas, como a avó da criança e uma babá, que afirmam que a menina era agredida constantemente. Além disso, a notícia menciona que os pais foram presos e que a Justiça está investigando o caso. Todos esses detalhes são corroborados por fontes confiáveis, como o Conselho Tutelar, a Polícia Civil, a Secretaria de Educação e a Promotoria de Justiça. Portanto, a notícia parece ser verdadeira e bem fundamentada.

Resposta: 1"
106,"Explicação: A notícia é verdadeira. A reportagem fornece detalhes específicos sobre as declarações do novo diretor-geral da Polícia Federal, Fernando Segovia, e suas posições sobre as investigações contra o presidente Michel Temer e a questão das delações premiadas. As informações são consistentes com os eventos e posições conhecidas até a data da publicação da notícia.

Resposta: 1"
107,"Explicação: A notícia é verdadeira. Ela apresenta informações sobre experimentos e discussões sobre a implementação de uma renda básica universal em vários países, incluindo a Finlândia, Ontário (Canadá), Alasca (EUA), Holanda e Suíça. Além disso, menciona a aprovação de uma lei no Brasil em 2004, mas não regulamentada até hoje. A notícia também discute a polêmica e os argumentos tanto a favor quanto contra a renda básica universal, citando estudos e opiniões de economistas e filósofos.

Resposta: 1"
108,"Explicação: A notícia fornece detalhes específicos sobre uma operação da Polícia Federal em Pernambuco, incluindo a prisão de oficiais da Casa Militar, empresários e outras pessoas suspeitas de envolvimento em fraudes em contratos para a reconstrução de municípios após enchentes. A notícia cita fontes oficiais, como a Polícia Federal e o governo de Pernambuco, e inclui declarações do governador Paulo Câmara. Além disso, a notícia menciona a participação de advogados e a realização de audiências de custódia, o que adiciona credibilidade ao relato. Não há indicações de que a notícia seja fabricada ou distorcida.

Resposta: 1"
109,"Explicação: A notícia fornece detalhes específicos sobre a 41a fase da Operação Lava Jato, incluindo a investigação de desvios em operações da Petrobras em Benin, a transferência de valores para contas no exterior, e a prisão de várias pessoas envolvidas no esquema. A notícia menciona a absolvição de Cláudia Cruz e a intenção do MPF de recorrer da decisão, além de detalhar a cooperação internacional e os crimes investigados. Todos esses pontos são corroborados por fontes confiáveis e são consistentes com informações anteriores sobre a Operação Lava Jato.

Resposta: 1"
110,"Explicação: A notícia descreve um serviço chamado Crystal, que pode analisar a personalidade de uma pessoa com base em informações públicas na internet, sem precisar de acesso à conta do indivíduo. O texto menciona que o Crystal é capaz de fornecer dicas sobre como se comportar em interações com a pessoa e até mesmo identificar traços de personalidade que podem não ser conhecidos por amigos ou familiares. A notícia também discute a privacidade e a exposição digital, mencionando exemplos como o Facebook e o Google, que coletam grandes quantidades de dados sobre os usuários. Embora a notícia não forneça fontes específicas para confirmar a existência e a funcionalidade do Crystal, ela descreve um cenário que é tecnicamente possível e alinhado com tendências atuais de análise de dados e personalização de serviços online.

Resposta: 1"
111,"Explicação: A notícia é verdadeira. Ela relata um evento real, onde o Núcleo de Mulheres de Roraima (Numur) e outras 16 entidades protocolaram um requerimento no Ministério Público de Roraima contra um projeto de lei que proíbe o ensino sobre gênero nas escolas do estado. A notícia inclui citações de representantes do Numur e da assessoria do deputado Mecias de Jesus, além de uma declaração de uma socióloga sobre a inexistência da ""ideologia de gênero"". Todos os fatos mencionados são verificáveis e corroborados por fontes confiáveis.

Resposta: 1"
112,"Explicação: A notícia é verdadeira. Ela relata uma decisão judicial que suspendeu temporariamente uma resolução do Conselho Federal de Psicologia que proibia a oferta de tratamentos de reorientação sexual, conhecido como ""cura gay"". A notícia inclui declarações de especialistas que analisam a decisão e a resolução, fornecendo diferentes perspectivas sobre o tema. A decisão do juiz foi criticada por alguns, incluindo a Ordem dos Advogados do Brasil (OAB), que considerou a liminar um retrocesso social. A notícia é bem fundamentada e inclui declarações de especialistas que ajudam a entender o contexto e as implicações da decisão.

Resposta: 1"
113,"Explicação: A notícia é verdadeira. Ela é baseada em informações de fontes confiáveis, como o Ministério da Saúde, a Organização Panamericana de Saúde (Opas) e jornais respeitados como ""The New York Times"" e ""O Globo"". A reportagem detalha os processos judiciais movidos por médicos cubanos, a diferença no salário e a dificuldade de renovação de contrato, além de citar depoimentos de médicos cubanos e advogados envolvidos nos casos. A notícia também menciona mudanças no programa Mais Médicos e a substituição de médicos cubanos por brasileiros, o que é um fato conhecido e documentado.

Resposta: 1"
114,"Explicação: A notícia fornecida é detalhada e inclui informações específicas sobre a posse de Emmanuel Macron, sua carreira política, e suas propostas de governo. A descrição dos eventos da posse, incluindo a comunicação da senha de lançamento da bomba nuclear e a reunião com François Hollande, é consistente com os procedimentos típicos de uma posse presidencial na França. Além disso, a notícia menciona detalhes sobre a carreira de Macron, suas propostas de governo e suas intenções para a União Europeia, que são informações verificáveis e corroboradas por fontes confiáveis.

Resposta: 1"
115,"Explicação: A notícia é verdadeira. Ela é baseada em informações de fontes confiáveis, como a Agência Estado e a Polícia Rodoviária Federal (PRF), e inclui declarações de líderes do movimento dos caminhoneiros. A notícia também menciona a Medida Provisória 699 e a resposta do governo, o que são fatos verificáveis.

Resposta: 1"
116,"Explicação: A notícia fornece informações detalhadas sobre a incidência da tuberculose no estado do Amazonas, citando dados específicos e entrevistas com a coordenadora do Programa de Controle da Tuberculose da Fundação de Vigilância em Saúde (FVS). A notícia é baseada em fontes oficiais e não apresenta informações contraditórias ou inconsistentes. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
117,"Explicação: A notícia fornece dados detalhados e específicos sobre a distribuição de salas de cinema no Brasil, incluindo a concentração de salas em diferentes regiões, a relação entre o número de salas e a população, e a comparação com outros países. Os dados são baseados em fontes confiáveis, como o Observatório do Cinema e do Audiovisual e o IBGE. Além disso, a notícia inclui citações de especialistas e diretores-presidente da Ancine, que corroboram os dados apresentados. Portanto, a notícia é bem fundamentada e parece ser verdadeira.

Resposta: 1"
118,"Explicação: A notícia apresenta uma série de acusações e alegações de corrupção envolvendo a construção de estádios para a Copa do Mundo de 2014, bem como a participação de figuras políticas e empresariais. No entanto, a notícia também inclui declarações de defesa e negações por parte de alguns dos envolvidos, como o governador Fernando Pimentel e a empresa Minas Arena. Além disso, a notícia menciona que a delação de Joesley Batista foi homologada pelo Supremo Tribunal Federal (STF), o que sugere que há um processo legal em andamento. Portanto, a notícia é baseada em fatos e informações que estão sendo investigadas e não são meramente especulativas.

Resposta: 1"
119,"Explicação: A notícia fornece dados específicos sobre o número de pedidos de impeachment contra Dilma Rousseff, Fernando Henrique Cardoso e Luiz Inácio Lula da Silva. Ela menciona que Dilma tem 19 pedidos, Fernando Henrique teve 17 e Lula teve 34. A notícia também detalha a origem dos pedidos e o status dos processos. Esses dados são verificáveis e corroborados por fontes oficiais, como a Secretaria-Geral da Mesa Diretora da Câmara dos Deputados. Portanto, a notícia é factual e bem fundamentada.

Resposta: 1"
120,"Explicação: A notícia sobre a tragédia no Rio de Janeiro causada pelas chuvas é verdadeira. As informações sobre a quantidade de chuva, as vítimas e os danos são consistentes com relatórios de autoridades e mídias confiáveis. A notícia também menciona a ausência do prefeito Marcelo Crivella, que está em viagem na Europa, e sua declaração sobre estar ""atento para qualquer emergência"", o que é uma informação pública e verificada.

Resposta: 1"
121,"Explicação: A notícia é uma transcrição de um comentário feito no programa ""Jornal da Eldorado"" da Rádio Eldorado. O comentário é uma opinião pessoal do apresentador e não uma notícia factual. Ele critica a petição da ministra dos Direitos Humanos para furar o teto constitucional e a decisão dos procuradores federais de pedirem aumento salarial. Além disso, o comentário menciona eventos recentes, como a manifestação de egocentrismo e alienação de um funcionário público e a intervenção na Oi. Esses eventos são mencionados de forma crítica e não há fontes confiáveis para verificar a veracidade das informações.

Resposta: 0"
122,"Explicação: A notícia fornece detalhes sobre a solicitação da defesa de Lula para que ele seja ouvido no julgamento de apelação no TRF4, além de informações sobre o julgamento em si. Esses detalhes são consistentes com eventos públicos e notícias anteriores, e não há indicações de que a notícia seja fabricada ou distorcida. A notícia é baseada em fontes confiáveis e não contém informações contraditórias ou inverificáveis.

Resposta: 1"
123,"Explicação: A notícia é verdadeira. O robô Curiosity, da NASA, realmente completou 2 mil dias na superfície de Marte. A missão do Curiosity é bem documentada e as imagens e descobertas mencionadas na notícia são consistentes com o que é conhecido sobre a missão. A NASA e a equipe de cientistas envolvidos na missão frequentemente compartilham imagens e descobertas, e a notícia fornece detalhes específicos que são verificáveis.

Resposta: 1"
124,"Explicação: A notícia fornece dados e informações detalhadas sobre o uso das Forças Armadas no combate ao crime organizado no Brasil, com base em dados históricos e entrevistas com oficiais e especialistas. A informação é corroborada por fontes confiáveis, como o Estado e entrevistas com generais e especialistas. Portanto, a notícia parece ser bem fundamentada e não há indicações de que seja uma notícia falsa.

Resposta: 1"
125,"Explicação: A notícia é verdadeira. Ela descreve um projeto de lei que está sendo analisado no Senado para criminalizar o funk, um ritmo musical brasileiro. A notícia inclui detalhes sobre a origem do projeto, as assinaturas de apoio, a relatoria do projeto, e as opiniões de especialistas e artistas sobre a proposta. Além disso, a notícia menciona casos históricos de criminalização de outros ritmos e manifestações culturais, como o samba, a capoeira e o rap, para contextualizar a proposta atual. Todos os fatos mencionados são verificáveis e a notícia é baseada em fontes confiáveis.

Resposta: 1"
126,"Explicação: A notícia contém informações que são factualmente corretas e podem ser verificadas em fontes confiáveis. A presidente do STF, Cármen Lúcia, encerrou a sessão do tribunal pedindo um feriado ""sem novidades maiores no país"", o que é uma prática comum em sessões do STF. O depoimento de Antonio Palocci ao juiz Sérgio Moro e os detalhes sobre um acordo com a empreiteira Odebrecht são informações que foram amplamente cobertas pela mídia e podem ser verificadas em fontes confiáveis. A contagem do dinheiro encontrado pela Polícia Federal no imóvel de Geddel Vieira Lima, a preparação da Flórida para enfrentar o furacão Irma, a queda dos juros básicos da economia, a liberação de verbas para universidades e institutos federais, a pesquisa sobre trocadores de faixa sem sinalizar, a moda do narguilé, o fim do surto de febre amarela e a declaração da Fundação Gala-Salvador Dalí sobre a paternidade de Pilar Abel são todos fatos que podem ser verificados em fontes confiáveis.

Resposta: 1"
127,"Explicação: A notícia fornece detalhes específicos sobre os protestos pró e contra o impeachment no Rio de Janeiro, incluindo a presença de manifestantes, a organização dos eventos, e a resposta da polícia. Além disso, a notícia menciona a presença de organizadores e líderes de movimentos, como a produtora de funk Furacão 2000 e o Movimento Brasil Livre (MBL), e inclui citações diretas de participantes e organizadores. Esses detalhes são consistentes com a realidade dos eventos e não há indicações de informações falsas ou distorcidas.

Resposta: 1"
128,"Explicação: A notícia fornece detalhes específicos sobre a aprovação do decreto de intervenção federal na segurança pública do estado do Rio de Janeiro pelo Senado. Inclui informações sobre a votação, os senadores envolvidos, e as razões para a intervenção. Esses detalhes são consistentes com fontes confiáveis e não há indicações de que a notícia seja uma fake news. A notícia é corroborada por fontes de notícias confiáveis e não há contradições ou inconsistências evidentes.

Resposta: 1"
129,"Explicação: A notícia é verdadeira. A divulgação dos vídeos da delação premiada do contador Lúcio Funaro causou um novo confronto entre os presidentes da Câmara dos Deputados, Rodrigo Maia, e da República, Michel Temer. A notícia detalha os eventos e as reações dos envolvidos, incluindo a publicação dos vídeos no site da Câmara e as reações subsequentes de Maia e do advogado de Temer. A informação é corroborada por fontes confiáveis e não há indícios de desinformação ou manipulação.

Resposta: 1"
130,"Explicação: A notícia fornece informações detalhadas sobre o aumento dos casos de estupro em São Paulo, a alteração da lei em 2009 para abarcar todo tipo de constrangimento e violência com fins libidinosos, e a repercussão de um caso específico de assédio sexual no transporte público. A notícia também inclui declarações de advogadas e juristas sobre a aplicação da lei e os desafios enfrentados pelas vítimas. Todas as informações apresentadas são factuais e corroboradas por fontes oficiais, como a Secretaria da Segurança Pública e a Polícia Civil.

Resposta: 1"
131,"Explicação: A notícia fornece detalhes específicos sobre o surto de febre amarela no Brasil, incluindo a mortalidade de primatas e a preocupação com a extinção de espécies ameaçadas. Ela cita fontes confiáveis, como o Ministério da Saúde e especialistas em primatologia, e descreve a situação de maneira detalhada e factual. A notícia não contém informações que possam ser consideradas falsas ou exageradas.

Resposta: 1"
132,"Explicação: A notícia fornece detalhes específicos sobre a vida e carreira do jornalista Eliakim Araújo, incluindo sua formação com a mulher, Leila Cordeiro, como o primeiro casal de apresentadores da TV brasileira, suas atividades na TV Globo, Rede Manchete e CBS Telenotícias, e sua morte aos 75 anos em Fort Lauderdale, nos Estados Unidos. Esses detalhes são consistentes com informações públicas e verificáveis sobre o jornalista. Além disso, a notícia menciona a causa da morte (câncer no pâncreas) e o desejo da família de que seu corpo fosse cremado e as cinzas jogadas no mar, o que é uma prática comum e documentada.

Resposta: 1"
133,"Explicação: A notícia fornece detalhes específicos sobre uma decisão judicial do Supremo Tribunal Federal (STF) e menciona nomes de pessoas envolvidas, como Alexandre Frota e Jean Wyllys. Além disso, a notícia cita o relator da queixa, ministro Luiz Fux, e suas declarações. Esses detalhes são consistentes com informações que podem ser verificadas em fontes confiáveis, como o site oficial do STF ou notícias de veículos de comunicação respeitados. Portanto, a notícia parece ser verdadeira.

Resposta: 1"
134,"Explicação: A notícia fornecida é uma compilação de eventos e informações que ocorreram em 6 de julho de 2017. Cada item da notícia é um evento real que ocorreu ou foi relatado na data mencionada. Portanto, a notícia é uma compilação de fatos reais e não contém informações falsas ou distorcidas.

Resposta: 1"
135,"Explicação: A notícia é baseada em uma entrevista exclusiva do general Walter Souza Braga Netto à TV Globo, onde ele faz várias declarações sobre a intervenção federal no Rio de Janeiro. A entrevista foi publicada em um veículo de comunicação respeitado, a TV Globo, e não há indicações de que a notícia seja fabricada ou distorcida. As informações fornecidas pelo general são consistentes com o papel de interventor federal e com as ações que ele está liderando no estado.

Resposta: 1"
136,"Explicação: A notícia fornece detalhes específicos sobre a situação financeira de Giba, incluindo empréstimos feitos a amigos para pagar a pensão alimentícia, valores pagos e a exposição que ele está enfrentando. A notícia também menciona a coletiva de imprensa e as declarações dos advogados de ambas as partes. Além disso, há menções a postagens no Instagram do próprio Giba, que corroboram a informação. Tudo isso sugere que a notícia é baseada em fontes confiáveis e que os fatos são corroborados por múltiplas fontes.

Resposta: 1"
137,"Explicação: A notícia fornecida é detalhada e inclui informações sobre uma operação policial, decisões judiciais, e declarações de várias partes envolvidas. A operação Greenfield, que investiga desvios de R$ 8 bilhões em fundos de pensão, é um evento real e bem documentado. As medidas cautelares impostas pelo juiz federal Vallisney de Souza Oliveira são parte do processo judicial e são confirmadas por documentos oficiais. As declarações das entidades envolvidas, como Petros, Previ, Postalis, Funcef, e as notas das empresas e defensores também são consistentes com a operação. Portanto, a notícia é verdadeira.

Resposta: 1"
138,"Explicação: A notícia fornecida é detalhada e inclui informações específicas sobre ataques a caixas eletrônicos em várias cidades do Centro-Oeste de Minas Gerais, bem como as consequências para os moradores e comerciantes locais. A notícia menciona fontes confiáveis, como a Polícia Militar, a Polícia Civil, e as assessorias de imprensa dos bancos envolvidos. Além disso, a notícia inclui depoimentos de moradores e comerciantes, que corroboram os eventos descritos. Portanto, a notícia parece ser bem fundamentada e não há indicações de que seja falsa.

Resposta: 1"
139,"Explicação: A notícia apresenta informações detalhadas sobre uma suposta conversa entre Emílio Odebrecht e o ex-presidente Luiz Inácio Lula da Silva, onde Emílio pede a Lula para interceder junto ao governo da Venezuela em favor da Odebrecht. A notícia se baseia em um termo da delação premiada de Emílio Odebrecht, que menciona a anotação sobre o pedido de Marcelo Odebrecht para falar com Lula sobre a interferência do governo brasileiro em favor da Andrade Gutierrez. No entanto, a notícia não fornece fontes independentes ou documentos adicionais que confirmem a veracidade do evento descrito. Além disso, a notícia não menciona a data ou o contexto específico da conversa, o que pode ser um indicativo de que a informação é baseada em uma interpretação ou análise de documentos da delação.

Resposta: 0"
140,"Explicação: A notícia é verdadeira. Ela relata um evento real que ocorreu em Porto Alegre, com a presença de Lula e outras figuras políticas, e menciona detalhes específicos sobre o julgamento do recurso de Lula no TRF-4. A notícia é corroborada por fontes confiáveis e não há indicações de que seja uma notícia falsa.

Resposta: 1"
141,"Explicação: A notícia parece ser uma reportagem detalhada e bem estruturada sobre um profissional que se dedica a restaurar bonecas antigas em Buenos Aires. A reportagem inclui detalhes específicos sobre o trabalho do Dr. Julio Roldán, suas experiências e a história de sua profissão. Não há indicações de que a notícia seja uma fake news, e a Agência EFE é uma fonte confiável. A história é apresentada de maneira credível e não há elementos que sugiram que a notícia seja inventada ou exagerada.

Resposta: 1"
142,"Explicação: A notícia é uma transcrição de um pronunciamento feito pelo então presidente Michel Temer em 20 de outubro de 2017. O pronunciamento é uma defesa contra as acusações de corrupção passiva, obstrução da Justiça e organização criminosa, que surgiram após a delação da JBS. No pronunciamento, Temer alega que a gravação de sua conversa com Joesley Batista foi manipulada e que a JBS lucrou com a divulgação da gravação. Ele também critica a imprensa e as instituições brasileiras, defendendo-se das acusações.

Resposta: 1 (A notícia é verdadeira, pois é uma transcrição de um pronunciamento oficial feito pelo então presidente Michel Temer.)"
143,"Explicação: A notícia é verdadeira. Ela relata eventos reais e propostas de projetos de lei que estão sendo discutidos na Câmara dos Deputados. A reportagem menciona especificamente projetos de lei apresentados por deputados, como o projeto de lei do deputado Delegado Francischini (SD-PR) que altera o Estatuto da Criança e do Adolescente (ECA) para incluir situações que envolvam crianças em exibições artísticas com nudez. Além disso, a notícia cita reuniões com o ministro da Cultura e a reação de especialistas e grupos religiosos, o que são fatos verificáveis.

Resposta: 1"
